0,4357
10D,0
10C,1561
111,20
105,28
10F,30
10B,33
106,0
107,-4
114,91
20,-51,-47,100
24,1380
0,4900
10D,0
10C,1504
111,21
105,28
10F,30
10B,37
106,0
107,-4
114,91
20,-50,-49,100
24,1390
0,5460
10D,1
10C,1348
111,21
105,29
10F,30
10B,45
106,0
107,-4
114,91
20,-52,-53,103
24,1421
0,6010
10D,1
10C,1604
111,15
105,29
10F,30
10B,23
106,0
107,-4
114,91
20,-51,-55,102
24,1396
0,6560
10D,1
10C,1439
111,15
105,29
10F,30
10B,21
106,0
107,-4
114,91
20,-53,-51,102
24,1394
0,7110
10D,0
10C,1277
111,14
105,29
10F,30
10B,23
106,0
107,-4
114,91
20,-53,-53,102
24,1380
0,7660
10D,0
10C,1409
111,22
105,29
10F,31
10B,51
106,0
107,-4
114,91
20,-54,-53,103
24,1399
0,8215
10D,1
10C,1664
111,14
105,29
10F,31
10B,24
106,0
107,-4
114,91
20,-57,-54,106
24,1397
0,8760
10D,1
10C,1486
111,22
105,29
10F,31
10B,49
106,0
107,-4
114,91
20,-63,-52,107
24,1414
0,9310
10D,2
10C,1382
111,19
105,29
10F,31
10B,45
106,0
107,-4
114,91
20,-66,-53,108
24,1422
0,9860
10D,4
10C,1168
111,19
105,30
10F,31
10B,52
106,0
107,-4
114,91
20,-63,-54,98
24,1412
0,10410
10D,7
10C,1122
111,21
105,30
10F,31
10B,58
106,0
107,-4
114,91
20,-57,-57,105
24,1419
0,10960
10D,9
10C,1468
111,23
105,30
10F,31
10B,56
106,0
107,-4
114,90
20,-57,-64,118
24,1421
0,11510
10D,12
10C,1670
111,27
105,30
10F,31
10B,65
106,0
107,-4
114,91
20,-62,-57,104
24,1423
0,12060
10D,14
10C,2033
111,32
105,30
10F,31
10B,68
106,0
107,-4
114,91
20,-51,-51,93
24,1423
0,12610
10D,18
10C,2267
111,16
105,30
10F,31
10B,22
106,0
107,-4
114,90
20,-45,-54,95
24,1425
0,13160
10D,17
10C,1776
111,15
105,30
10F,30
10B,19
106,0
107,-4
114,91
20,-48,-55,104
24,1424
0,13710
10D,17
10C,1642
111,14
105,30
10F,30
10B,19
106,0
107,-4
114,90
20,-55,-48,103
24,1417
0,14265
10D,16
10C,1369
111,14
105,30
10F,30
10B,27
106,0
107,-4
114,90
20,-47,-56,98
24,1426
0,14810
10D,15
10C,1207
111,16
105,30
10F,31
10B,32
106,0
107,-4
114,90
20,-49,-44,89
24,1420
0,15360
10D,14
10C,1147
111,16
105,30
10F,31
10B,32
106,0
107,-4
114,90
20,-44,-47,90
24,1417
0,15911
10D,13
10C,1092
111,16
105,30
10F,31
10B,31
106,0
107,-4
114,90
20,-50,-39,95
24,1420
0,16461
10D,11
10C,1069
111,15
105,30
10F,31
10B,30
106,0
107,-4
114,90
20,-49,-47,107
24,1416
0,17011
10D,9
10C,1058
111,14
105,31
10F,30
10B,27
106,0
107,-4
114,90
20,-51,-44,102
24,1416
0,17561
10D,8
10C,1041
111,14
105,31
10F,30
10B,25
106,0
107,-4
114,90
20,-53,-47,100
24,1431
0,18111
10D,7
10C,1046
111,14
105,31
10F,30
10B,31
106,0
107,-4
114,90
20,-55,-50,103
24,1420
0,18661
10D,6
10C,1031
111,19
105,31
10F,31
10B,52
106,0
107,-4
114,90
20,-53,-54,104
24,1416
0,19211
10D,7
10C,1024
111,18
105,31
10F,31
10B,46
106,0
107,-4
114,90
20,-53,-45,107
24,1417
0,19761
10D,8
10C,868
111,19
105,31
10F,31
10B,60
106,0
107,-4
114,91
20,-46,-45,100
24,1365
