0,4685
10D,18
10C,1371
111,14
105,82
10F,41
10B,20
106,0
107,-4
114,140
20,6,-23,-116
24,1391
0,5233
10D,17
10C,1352
111,19
105,82
10F,41
10B,37
106,0
107,-4
114,22
20,0,-8,-110
24,1385
0,5793
10D,17
10C,1332
111,19
105,82
10F,42
10B,46
106,0
107,-4
114,24
20,0,-11,-114
24,1387
0,6343
10D,18
10C,1389
111,20
105,82
10F,42
10B,51
106,0
107,-4
114,23
20,3,-7,-125
24,1389
0,6893
10D,18
10C,1416
111,20
105,82
10F,42
10B,50
106,0
107,-4
114,167
20,3,-12,-110
24,1390
0,7443
10D,19
10C,1510
111,20
105,82
10F,42
10B,52
106,0
107,-4
114,167
20,10,-5,-129
24,1383
0,7993
10D,20
10C,1584
111,20
105,82
10F,42
10B,52
106,-4
107,-4
114,172
20,3,-4,-114
24,1388
0,8548
10D,21
10C,1608
111,15
105,82
10F,42
10B,31
106,-7
107,-4
114,177
20,1,-16,-115
24,1387
0,9093
10D,21
10C,1606
111,14
105,82
10F,41
10B,20
106,-8
107,-4
114,149
20,5,-19,-121
24,1376
0,9643
10D,20
10C,1600
111,14
105,82
10F,41
10B,19
106,-9
107,-4
114,10
20,5,-23,-110
24,1374
0,10193
10D,19
10C,1415
111,14
105,82
10F,41
10B,18
106,-9
107,-4
114,10
20,11,-49,-125
24,1387
0,10743
10D,17
10C,1315
111,13
105,83
10F,41
10B,18
106,-9
107,-4
114,11
20,0,-10,-120
24,1386
0,11293
10D,16
10C,1253
111,22
105,82
10F,42
10B,58
106,0
107,-4
114,9
20,0,0,-110
24,1382
0,11843
10D,17
10C,1419
111,21
105,82
10F,42
10B,51
106,1
107,-4
114,176
20,8,-20,-119
24,1384
0,12393
10D,18
10C,1354
111,14
105,83
10F,42
10B,33
106,1
107,-4
114,177
20,4,-13,-104
24,1388
0,12943
10D,18
10C,1355
111,14
105,83
10F,42
10B,22
106,1
107,-4
114,168
20,-2,-10,-115
24,1388
0,13493
10D,17
10C,1301
111,14
105,83
10F,41
10B,25
106,0
107,-4
114,153
20,0,-13,-124
24,1387
0,14043
10D,16
10C,1323
111,18
105,83
10F,42
10B,40
106,0
107,-4
114,27
20,-1,3,-116
24,1383
0,14593
10D,16
10C,1310
111,18
105,83
10F,42
10B,43
106,-3
107,-4
114,143
20,4,8,-110
24,1376
0,15143
10D,17
10C,1349
111,17
105,83
10F,42
10B,40
106,-3
107,-4
114,103
20,16,-8,-116
24,1384
0,15693
10D,17
10C,1362
111,17
105,83
10F,42
10B,37
106,-3
107,-4
114,16
20,-1,-6,-113
24,1386
0,16243
10D,17
10C,1361
111,17
105,83
10F,42
10B,35
106,-3
107,-4
114,61
20,4,-14,-126
24,1389
0,16793
10D,18
10C,1373
111,17
105,83
10F,42
10B,35
106,-3
107,-4
114,49
20,4,-5,-118
24,1385
0,17343
10D,18
10C,1398
111,17
105,83
10F,42
10B,35
106,-3
107,-4
114,21
20,7,-7,-117
24,1388
0,17893
10D,18
10C,1416
111,17
105,83
10F,42
10B,34
106,-3
107,-4
114,147
20,0,-8,-111
24,1389
0,18443
10D,18
10C,1427
111,17
105,83
10F,42
10B,34
106,-2
107,-4
114,39
20,3,-18,-102
24,1384
0,18993
10D,19
10C,1412
111,17
105,83
10F,42
10B,30
106,-3
107,-4
114,147
20,2,-11,-125
24,1388
0,19543
10D,18
10C,1405
111,15
105,83
10F,42
10B,22
106,-3
107,-4
114,100
20,0,-12,-127
24,1378
0,20093
10D,18
10C,1353
111,15
105,83
10F,42
10B,22
106,-3
107,-4
114,14
20,16,-22,-110
24,1389
0,20643
10D,17
10C,1355
111,17
105,83
10F,42
10B,34
106,-3
107,-4
114,16
20,24,-27,-97
24,1387
0,21193
10D,17
10C,1271
111,18
105,84
10F,42
10B,48
106,-3
107,-4
114,140
20,-17,-4,-155
24,1386
0,21743
10D,16
10C,1356
111,20
105,84
10F,42
10B,52
106,-1
107,-4
114,65
20,-5,-7,-144
24,1381
0,22293
10D,18
10C,1426
111,19
105,84
10F,42
10B,42
106,-1
107,-4
114,163
20,-2,-10,-106
24,1387
0,22843
10D,18
10C,1395
111,14
105,84
10F,42
10B,22
106,-2
107,-4
114,156
20,6,-21,-121
24,1388
0,23398
10D,18
10C,1331
111,14
105,84
10F,42
10B,21
106,-3
107,-4
114,21
20,-3,-15,-114
24,1384
0,23943
10D,17
10C,1305
111,14
105,84
10F,42
10B,20
106,-3
107,-4
114,13
20,14,-23,-114
24,1386
0,24493
10D,16
10C,1243
111,14
105,84
10F,42
10B,19
106,-3
107,-4
114,17
20,4,-17,-115
24,1390
0,25044
10D,15
10C,1051
111,13
105,84
10F,42
10B,22
106,-3
107,-4
114,22
20,7,-12,-123
24,1385
0,25592
10D,14
10C,935
111,13
105,84
10F,42
10B,23
106,-3
107,-4
114,142
20,6,-9,-111
24,1372
0,26142
10D,14
10C,829
111,13
105,84
10F,42
10B,24
106,-3
107,-4
114,146
20,8,-12,-106
24,1376
0,26694
10D,13
10C,794
111,13
105,84
10F,42
10B,25
106,-3
107,-4
114,106
20,11,-10,-131
24,1383
0,27244
10D,12
10C,790
111,13
105,84
10F,42
10B,25
106,-3
107,-4
114,19
20,6,-17,-114
24,1384
0,27794
10D,11
10C,791
111,13
105,84
10F,42
10B,25
106,0
107,-4
114,21
20,0,-19,-109
24,1381
0,28344
10D,11
10C,889
111,19
105,84
10F,42
10B,49
106,0
107,-4
114,150
20,10,-14,-114
24,1390
0,28978
10D,10
10C,1199
111,13
105,84
10F,42
10B,23
106,0
107,-4
114,165
20,2,-13,-115
24,1377
0,29524
10D,9
10C,1016
111,13
105,84
10F,42
10B,22
106,0
107,-4
114,148
20,0,-15,-111
24,1386
0,30074
10D,9
10C,892
111,13
105,84
10F,42
10B,23
106,0
107,-4
