0,4740
10D,7
10C,1074
111,16
105,33
10F,18
10B,36
106,0
107,-4
114,175
20,-32,-7,-124
24,1456
0,5288
10D,7
10C,1091
111,16
105,33
10F,18
10B,32
106,-1
107,-4
114,172
20,-25,-6,-111
24,1455
0,5848
10D,7
10C,1191
111,15
105,33
10F,18
10B,27
106,-2
107,-4
114,167
20,-24,-5,-116
24,1454
0,6398
10D,6
10C,1328
111,14
105,33
10F,18
10B,22
106,-3
107,-4
114,172
20,-26,-4,-119
24,1453
0,6948
10D,5
10C,1225
111,14
105,33
10F,18
10B,22
106,-4
107,-4
114,174
20,-28,-6,-119
24,1450
0,7498
10D,4
10C,1103
111,14
105,33
10F,18
10B,22
106,-5
107,-4
114,174
20,-25,-11,-115
24,1446
0,8048
10D,3
10C,1035
111,14
105,33
10F,18
10B,23
106,-6
107,-4
114,170
20,-27,-4,-117
24,1440
0,8604
10D,2
10C,1018
111,14
105,33
10F,18
10B,22
106,-7
107,-4
114,168
20,-26,-6,-116
24,1448
0,9148
10D,1
10C,1000
111,14
105,33
10F,18
10B,23
106,-8
107,-4
114,167
20,-27,-4,-118
24,1456
0,9698
10D,0
10C,1003
111,14
105,33
10F,18
10B,22
106,-9
107,-4
114,163
20,-30,4,-126
24,1387
0,10248
10D,0
10C,790
111,21
105,33
10F,18
10B,71
106,0
107,-4
114,3
20,-28,-3,-121
24,1456
0,10798
10D,0
10C,934
111,60
105,33
10F,19
10B,74
106,0
107,-4
114,3
20,-28,7,-123
24,1435
0,11348
10D,0
10C,935
111,25
105,33
10F,19
10B,61
106,3
107,-4
114,11
20,-29,-5,-121
24,1451
0,11898
10D,2
10C,1378
111,15
105,34
10F,19
10B,31
106,4
107,-4
114,185
20,-26,-5,-118
24,1452
0,12448
10D,1
10C,1387
111,21
105,34
10F,18
10B,45
106,3
107,-4
114,5
20,-28,5,-122
24,1443
0,12998
10D,1
10C,1647
111,17
105,34
10F,18
10B,34
106,3
107,-4
114,180
20,-24,0,-118
24,1455
0,13548
10D,3
10C,1269
111,17
105,34
10F,18
10B,30
106,3
107,-4
114,173
20,-26,3,-120
24,1451
0,14098
10D,4
10C,1180
111,17
105,34
10F,18
10B,36
106,1
107,-4
114,171
20,-34,-13,-136
24,1453
0,14648
10D,5
10C,1079
111,15
105,34
10F,18
10B,32
106,0
107,-4
114,174
20,-37,-5,-130
24,1449
0,15198
10D,5
10C,1034
111,17
105,35
10F,18
10B,35
106,0
107,-4
114,169
20,-21,-3,-114
24,1452
0,15748
10D,5
10C,1065
111,18
105,35
10F,18
10B,45
106,-1
107,-4
114,160
20,-42,1,-121
24,1454
0,16298
10D,5
10C,1274
111,18
105,35
10F,18
10B,45
106,-3
107,-4
114,161
20,-33,4,-116
24,1453
0,16848
10D,5
10C,1372
111,18
105,35
10F,18
10B,41
106,-6
107,-4
114,165
20,-31,7,-113
24,1456
0,17398
10D,5
10C,1465
111,18
105,35
10F,18
10B,40
106,-7
107,-4
114,163
20,-28,-2,-130
24,1453
0,17948
10D,6
10C,1458
111,18
105,35
10F,18
10B,40
106,-10
107,-4
114,156
20,-34,-12,-135
24,1452
0,18498
10D,6
10C,1196
111,17
105,35
10F,18
10B,35
106,-11
107,-4
114,6
20,-22,-13,-123
24,1456
0,19048
10D,6
10C,1183
111,15
105,36
10F,18
10B,29
106,-11
107,-4
114,10
20,-28,-11,-119
24,1449
0,19598
10D,5
10C,1077
111,15
105,36
10F,18
10B,28
106,-11
107,-4
114,10
20,-22,-9,-122
24,1456
0,20148
10D,5
10C,1047
111,15
105,36
10F,18
10B,27
106,-11
107,-4
114,13
20,-32,-5,-121
24,1447
0,20698
10D,4
10C,1022
111,14
105,36
10F,18
10B,26
106,-10
107,-4
114,15
20,-21,2,-116
24,1440
0,21248
10D,4
10C,1022
111,14
105,36
10F,18
10B,26
106,-9
107,-4
114,135
20,-23,-3,-108
24,1438
0,21798
10D,4
10C,988
111,14
105,36
10F,18
10B,26
106,-9
107,-4
114,107
20,-15,-13,-121
24,1427
0,22348
10D,4
10C,971
111,14
105,36
10F,18
10B,26
106,-8
107,-4
114,14
20,-21,-30,-130
24,1384
0,22898
10D,4
10C,957
111,14
105,36
10F,18
10B,30
106,-8
107,-4
114,11
20,-22,-5,-113
24,1438
0,23453
10D,6
10C,989
111,20
105,36
10F,18
10B,53
106,-7
107,-4
114,3
20,-18,-14,-114
24,1461
0,23998
10D,6
10C,1153
111,16
105,36
10F,18
10B,37
106,-5
107,-4
114,5
20,-22,-9,-110
24,1456
0,24548
10D,9
10C,1234
111,17
105,36
10F,18
10B,32
106,-3
107,-4
114,19
20,-26,-4,-118
24,1448
0,25098
10D,9
10C,1351
111,17
105,36
10F,18
10B,27
106,-3
107,-4
114,168
20,-18,-4,-113
24,1453
0,25648
10D,10
10C,1502
111,16
105,36
10F,18
10B,24
106,-3
107,-4
114,156
20,-30,-3,-116
24,1454
0,26198
10D,11
10C,1630
111,16
105,36
10F,18
10B,22
106,-3
107,-4
114,148
20,-27,-6,-114
24,1453
0,26748
10D,12
10C,1721
111,15
105,36
10F,18
10B,20
106,-5
107,-4
114,145
20,-20,-7,-114
24,1450
0,27298
10D,12
10C,1767
111,15
105,36
10F,18
10B,18
106,-7
107,-4
114,159
20,-27,-3,-121
24,1448
0,27848
10D,13
10C,1835
111,15
105,37
10F,18
10B,17
106,0
107,-4
114,141
20,-20,0,-115
24,1452
0,28398
10D,13
10C,1796
111,15
105,37
10F,18
10B,17
106,0
107,-4
114,255
20,-23,-5,-112
24,1454
0,29045
10D,12
10C,1729
111,14
105,37
10F,18
10B,18
106,0
107,-4
114,255
20,-20,-4,-123
24,1452
0,29588
10D,12
10C,1629
111,14
105,37
10F,18
10B,18
106,0
107,-4
114,255
20,-31,-1,-105
24,1450
0,30138
10D,11
10C,1555
111,14
105,37
10F,18
10B,18
106,0
107,-4
114,255
20,-20,-11,-118
24,1456
0,30688
10D,11
10C,1492
111,14
105,37
10F,18
10B,18
106,0
107,-4
114,255
20,-24,-2,-107
24,1455
0,31238
10D,10
10C,1460
111,15
105,37
10F,18
10B,20
106,0
107,-4
114,6
20,-27,-14,-116
24,1456
0,31788
10D,10
10C,1450
111,15
105,38
10F,18
10B,20
106,0
107,-4
114,56
20,-26,-4,-120
24,1448
0,32338
10D,10
10C,1485
111,15
105,38
10F,18
10B,20
106,0
107,-4
114,13
20,-25,-6,-112
24,1446
0,32888
10D,11
10C,1500
111,15
105,38
10F,18
10B,20
106,0
107,-4
114,13
20,-29,-14,-114
24,1446
0,33438
10D,10
10C,1489
111,15
105,38
10F,18
10B,20
106,0
107,-4
114,18
20,-28,-4,-115
24,1449
0,33988
10D,11
10C,1510
111,15
105,38
10F,18
10B,20
106,2
107,-4
114,142
20,-26,-6,-116
24,1454
0,34538
10D,11
10C,1529
111,15
105,38
10F,18
10B,19
106,2
107,-4
114,145
20,-14,-15,-118
24,1453
0,35093
10D,11
10C,1557
111,15
105,38
10F,18
10B,19
106,1
107,-4
114,114
20,-21,-8,-110
24,1456
0,35638
10D,11
10C,1553
111,15
105,38
10F,18
10B,19
106,0
107,-4
114,74
20,-22,-8,-107
24,1452
0,36188
10D,11
10C,1576
111,15
105,39
10F,18
10B,19
106,0
107,-4
114,14
20,-21,-1,-102
24,1453
0,36738
10D,11
10C,1558
111,15
105,39
10F,18
10B,19
106,0
107,-4
114,17
20,-21,-13,-110
24,1447
0,37288
10D,11
10C,1602
111,15
105,39
10F,18
10B,19
106,0
107,-4
114,142
20,-31,-9,-123
24,1452
0,37838
10D,11
10C,1600
111,15
105,39
10F,18
10B,19
106,0
107,-4
114,22
20,-28,-8,-120
24,1452
0,38388
10D,11
10C,1618
111,15
105,39
10F,18
10B,19
106,0
107,-4
114,134
20,-25,-5,-121
24,1452
0,38938
10D,11
10C,1628
111,15
105,39
10F,18
10B,18
106,0
107,-4
114,80
20,-24,-3,-119
24,1453
0,39488
10D,12
10C,1630
111,15
105,39
10F,18
10B,18
106,0
107,-4
114,13
20,-27,-10,-106
24,1457
0,40038
10D,12
10C,1641
111,15
105,39
10F,18
10B,18
106,-1
107,-4
114,142
20,-28,-11,-110
24,1458
0,40588
10D,12
10C,1644
111,15
105,39
10F,18
10B,18
106,0
107,-4
114,17
20,-17,-17,-111
24,1453
0,41138
10D,12
10C,1633
111,15
105,39
10F,18
10B,18
106,0
107,-4
114,19
20,-26,-8,-116
24,1456
0,41688
10D,12
10C,1658
111,15
105,39
10F,18
10B,18
106,0
107,-4
114,140
20,-32,-8,-111
24,1450
0,42238
10D,12
10C,1675
111,15
105,39
10F,18
10B,18
106,0
107,-4
114,14
20,-30,-4,-102
24,1453
0,42788
10D,12
10C,1650
111,15
105,39
10F,18
10B,18
106,1
107,-4
114,147
20,-20,-10,-109
24,1452
0,43338
10D,12
10C,1640
111,15
105,39
10F,18
10B,18
106,1
107,-4
114,103
20,-26,-10,-114
24,1448
0,43893
10D,12
10C,1681
111,15
105,40
10F,18
10B,18
106,0
107,-4
114,10
20,-23,-1,-120
24,1456
0,44438
10D,12
10C,1689
111,15
105,40
10F,18
10B,18
106,0
107,-4
114,60
20,-25,-3,-111
24,1456
0,44988
10D,12
10C,1659
111,15
105,40
10F,18
10B,18
106,1
107,-4
114,130
20,-22,-22,-94
24,1453
0,45538
10D,12
10C,1690
111,15
105,40
10F,18
10B,18
106,2
107,-4
114,13
20,-29,-19,-108
24,1453
0,46088
10D,12
10C,1692
111,15
105,40
10F,18
10B,17
106,2
107,-4
114,69
20,-32,-14,-108
24,1451
0,46638
10D,12
10C,1712
111,14
105,40
10F,18
10B,17
106,3
107,-4
114,137
20,-21,-12,-118
24,1450
0,47187
10D,12
10C,1727
111,14
105,41
10F,18
10B,17
106,3
107,-4
114,10
20,-25,-6,-114
24,1456
0,47738
10D,12
10C,1693
111,14
105,41
10F,18
10B,17
106,3
107,-4
114,19
20,-23,-6,-117
24,1451
0,48288
10D,12
10C,1701
111,14
105,41
10F,18
10B,17
106,3
107,-4
114,127
20,-29,-14,-120
24,1441
0,48839
10D,12
10C,1685
111,14
105,41
10F,18
10B,17
106,3
107,-4
114,51
20,-25,-9,-108
24,1440
0,49389
10D,12
10C,1660
111,14
105,41
10F,18
10B,17
106,3
107,-4
114,11
20,-21,-1,-108
24,1450
0,49939
10D,12
10C,1654
111,14
105,41
10F,18
10B,17
106,3
107,-4
114,11
20,-22,-9,-115
24,1437
0,50489
10D,12
10C,1663
111,20
105,42
10F,19
10B,38
106,3
107,-4
114,7
20,-25,-2,-128
24,1441
0,51039
10D,12
10C,1857
111,20
105,42
10F,19
10B,37
106,6
107,-4
114,170
20,-24,-4,-122
24,1435
0,51589
10D,14
10C,1972
111,16
105,42
10F,19
10B,21
106,5
107,-4
114,168
20,-21,-4,-126
24,1441
0,52215
10D,15
10C,2092
111,17
105,42
10F,19
10B,20
106,2
107,-4
114,97
20,-26,-9,-115
24,1450
0,52759
10D,15
10C,2115
111,16
105,42
10F,18
10B,17
106,0
107,-4
114,160
20,-24,-4,-113
24,1432
0,53309
10D,16
10C,1686
111,15
105,42
10F,18
10B,21
106,0
107,-4
114,6
20,-20,-13,-112
24,1433
0,53859
10D,15
10C,1403
111,16
105,42
10F,19
10B,23
106,0
107,-4
114,9
20,-27,-15,-109
24,1430
0,54409
10D,14
10C,1178
111,15
105,42
10F,19
10B,25
106,0
107,-4
114,12
20,-23,-18,-109
24,1440
0,54959
10D,11
10C,1086
111,14
105,42
10F,19
10B,26
106,0
107,-4
114,17
20,-29,-14,-109
24,1432
0,55509
10D,10
10C,989
111,14
105,42
10F,19
10B,26
106,0
107,-4
114,52
20,-32,-29,-127
24,1420
0,56059
10D,8
10C,914
111,14
105,42
10F,19
10B,27
106,0
107,-4
114,150
20,-32,-4,-114
24,1422
0,56609
10D,8
10C,789
111,22
105,42
10F,19
10B,56
106,0
107,-4
114,7
20,-45,-10,-133
24,1413
0,57159
10D,8
10C,622
111,20
105,43
10F,20
10B,64
106,0
107,-4
114,6
20,-38,-9,-131
24,1433
0,57708
10D,9
10C,836
111,21
105,43
10F,20
10B,63
106,3
107,-4
114,6
20,-47,-14,-118
24,1421
0,58264
10D,11
10C,906
111,23
105,43
10F,20
10B,64
106,7
107,-4
114,6
20,-48,-12,-120
24,1423
0,58809
10D,11
10C,1008
111,29
105,43
10F,19
10B,73
106,10
107,-4
114,5
20,-43,-2,-131
24,1437
0,59359
10D,13
10C,1092
111,74
105,43
10F,19
10B,74
106,14
107,-4
114,7
20,-34,4,-134
24,1433
0,59909
10D,14
10C,1176
111,82
105,43
10F,19
10B,74
106,17
107,-4
114,11
20,-34,13,-125
24,1440
0,60459
10D,16
10C,1296
111,84
105,43
10F,19
10B,74
106,21
107,-4
114,149
20,-35,18,-125
24,1443
0,61009
10D,18
10C,1455
111,85
105,43
10F,19
10B,74
106,19
107,-4
114,152
20,-34,14,-127
24,1431
0,61559
10D,20
10C,1586
111,85
105,44
10F,19
10B,74
106,14
107,-4
114,153
20,-32,10,-133
24,1441
0,62109
10D,22
10C,1779
111,85
105,44
10F,19
10B,73
106,7
107,-4
114,148
20,-22,4,-130
24,1441
0,62659
10D,25
10C,1948
111,58
105,44
10F,19
10B,45
106,2
107,-4
114,166
20,-29,-3,-129
24,1440
0,63209
10D,25
10C,1425
111,15
105,44
