0,5406
10D,0
10C,1558
111,21
105,87
10F,57
10B,41
106,0
107,-4
114,196
20,-3,-27,-104
24,1336
0,5949
10D,2
10C,1261
111,21
105,87
10F,56
10B,50
106,0
107,-4
114,30
20,-1,-32,-105
24,1353
0,6509
10D,2
10C,1307
111,14
105,87
10F,56
10B,38
106,0
107,-4
114,166
20,-7,-25,-103
24,1353
0,7059
10D,2
10C,1096
111,15
105,87
10F,56
10B,32
106,0
107,-4
114,26
20,-9,-26,-108
24,1370
0,7609
10D,2
10C,1125
111,14
105,87
10F,56
10B,25
106,0
107,-4
114,26
20,-8,-23,-110
24,1370
0,8159
10D,2
10C,977
111,14
105,87
10F,56
10B,25
106,0
107,-4
114,22
20,-6,-22,-108
24,1371
0,8709
10D,1
10C,913
111,14
105,87
10F,56
10B,33
106,1
107,-4
114,23
20,-2,-24,-106
24,1367
0,9264
10D,0
10C,1081
111,15
105,87
10F,56
10B,29
106,2
107,-4
114,179
20,-7,-21,-110
24,1352
0,9809
10D,0
10C,1069
111,14
105,87
10F,56
10B,25
106,2
107,-4
114,171
20,-4,-23,-107
24,1370
0,10359
10D,0
10C,968
111,14
105,87
10F,56
10B,25
106,3
107,-4
114,31
20,-5,-24,-107
24,1318
0,10909
10D,0
10C,894
111,15
105,87
10F,56
10B,33
106,3
107,-4
114,27
20,-6,-19,-112
24,1339
0,11459
10D,0
10C,863
111,25
105,88
10F,56
10B,73
106,3
107,-4
114,16
20,-1,-17,-110
24,1321
0,12009
10D,0
10C,1426
111,23
105,88
10F,57
10B,53
106,4
107,-4
114,182
20,1,-15,-111
24,1337
0,12569
10D,2
10C,1348
111,19
105,88
10F,56
10B,53
106,2
107,-4
114,23
20,5,-17,-103
24,1345
0,13119
10D,4
10C,995
111,27
105,88
10F,56
10B,73
106,2
107,-4
114,10
20,7,-19,-108
24,1364
0,13669
10D,5
10C,992
111,63
105,88
10F,57
10B,72
106,4
107,-4
114,78
20,2,-15,-115
24,1368
0,14219
10D,7
10C,1183
111,20
105,88
10F,57
10B,56
106,4
107,-4
114,113
20,5,-11,-113
24,1375
0,14769
10D,9
10C,1450
111,23
105,88
10F,56
10B,56
106,4
107,-4
114,23
20,-8,-15,-114
24,1372
0,15324
10D,12
10C,1660
111,27
105,88
10F,56
10B,43
106,3
107,-4
114,179
20,8,-31,-108
24,1376
0,15869
10D,14
10C,2046
111,14
105,88
10F,56
10B,19
106,2
107,-4
114,87
20,6,-37,-92
24,1364
0,16419
10D,13
10C,2059
111,15
105,88
10F,56
10B,17
106,2
107,-4
114,13
20,0,-37,-92
24,1357
0,16969
10D,10
10C,1803
111,14
105,88
10F,56
10B,17
106,3
107,-4
114,14
20,-1,-34,-112
24,1376
0,17519
10D,8
10C,1526
111,14
105,88
10F,56
10B,17
106,3
107,-4
114,159
20,-15,-17,-107
24,1369
0,18069
10D,6
10C,1291
111,18
105,88
10F,56
10B,39
106,4
107,-4
114,9
20,-1,-33,-126
24,1378
0,18619
10D,8
10C,1164
111,19
105,88
10F,56
10B,49
106,4
107,-4
114,146
20,-3,-24,-100
24,1376
0,19169
10D,9
10C,1362
111,21
105,89
10F,57
10B,54
106,4
107,-4
114,69
20,3,-9,-109
24,1370
0,19719
10D,10
10C,1589
111,26
105,89
10F,57
10B,70
106,3
107,-4
114,7
20,4,-4,-118
24,1362
0,20269
10D,13
10C,1891
111,52
105,89
10F,57
10B,73
106,8
107,-4
114,132
20,2,1,-119
24,1370
0,20819
10D,17
10C,2356
111,80
105,89
10F,57
10B,73
106,7
107,-4
114,143
20,0,0,-118
24,1331
0,21374
10D,20
10C,2919
111,50
105,89
10F,57
10B,71
106,10
107,-4
114,139
20,-20,-8,-116
24,1367
0,21919
10D,23
10C,3275
111,54
105,89
10F,57
10B,72
106,7
107,-3
114,158
20,-18,-9,-127
24,1377
0,22469
10D,27
10C,3830
111,76
105,89
10F,57
10B,72
106,0
107,-3
114,52
20,-29,-16,-111
24,1377
0,23019
10D,32
10C,4144
111,18
105,89
10F,56
10B,15
106,0
107,-4
114,255
20,-20,-44,-91
24,1366
0,23570
10D,32
10C,3527
111,27
105,89
10F,56
10B,47
106,0
107,-4
114,24
20,-15,-13,-114
24,1370
0,24120
10D,33
10C,2756
111,52
105,89
10F,56
10B,73
106,6
107,-4
114,18
20,4,-7,-147
24,1374
0,24670
10D,36
10C,2810
111,75
105,89
10F,56
10B,73
106,4
107,-4
114,161
20,-5,-19,-106
24,1374
0,25220
10D,39
10C,2904
111,21
105,89
10F,56
10B,29
106,-1
107,-4
114,168
20,11,-29,-113
24,1370
0,25770
10D,39
10C,2956
111,17
105,89
10F,56
10B,17
106,-3
107,-4
114,5
20,-11,-52,-87
24,1367
0,26320
10D,39
10C,2974
111,17
105,89
10F,56
10B,17
106,0
107,-4
114,5
20,0,-43,-101
24,1365
0,26870
10D,38
10C,2895
111,17
105,90
10F,56
10B,17
106,3
107,-4
114,5
20,-5,-26,-92
24,1363
0,27430
10D,37
10C,2783
111,16
105,89
10F,56
10B,18
106,0
107,-4
114,255
20,17,-26,-81
