0,4006
10D,30
10C,2199
111,15
105,59
10F,40
10B,18
106,4
107,-5
114,175
20,29,-2,95
24,1412
0,4550
10D,29
10C,2234
111,15
105,59
10F,39
10B,17
106,1
107,-5
114,175
20,29,-11,93
24,1415
0,5110
10D,29
10C,2196
111,15
105,59
10F,39
10B,15
106,-1
107,-5
114,150
20,27,-9,118
24,1413
0,5660
10D,28
10C,2124
111,15
105,59
10F,39
10B,16
106,0
107,-5
114,1
20,22,-13,96
24,1411
0,6210
10D,27
10C,2046
111,15
105,59
10F,39
10B,16
106,0
107,-5
114,255
20,33,-15,110
24,1413
0,6760
10D,26
10C,2012
111,15
105,60
10F,39
10B,16
106,0
107,-5
114,255
20,33,-8,98
24,1410
0,7310
10D,25
10C,1917
111,14
105,60
10F,39
10B,17
106,0
107,-5
114,255
20,40,-16,111
24,1407
0,7865
10D,24
10C,1819
111,14
105,60
10F,39
10B,17
106,0
107,-5
114,255
20,38,-20,95
24,1407
0,8410
10D,22
10C,1660
111,14
105,60
10F,39
10B,18
106,0
107,-5
114,255
20,36,-15,93
24,1410
0,8960
10D,20
10C,1606
111,14
105,60
10F,39
10B,18
106,0
107,-5
114,255
20,29,-4,101
24,1408
0,9510
10D,19
10C,1556
111,28
105,60
10F,39
10B,54
106,0
107,-5
114,6
20,16,-9,119
24,1412
0,10060
10D,20
10C,1629
111,30
105,60
10F,40
10B,68
106,0
107,-5
114,6
20,14,-9,112
24,1409
0,10610
10D,22
10C,1816
111,36
105,60
10F,40
10B,72
106,3
107,-5
114,9
20,21,5,102
24,1401
0,11160
10D,25
10C,1962
111,74
105,60
10F,40
10B,74
106,10
107,-5
114,153
20,-2,-15,126
24,1409
0,11710
10D,28
10C,2220
111,82
105,61
10F,40
10B,67
106,3
107,-5
114,179
20,32,-11,94
24,1410
0,12260
10D,30
10C,2353
111,19
105,61
10F,39
10B,29
106,-1
107,-5
114,186
20,20,-20,89
24,1411
0,12810
10D,30
10C,2314
111,17
105,61
10F,39
10B,19
106,-4
107,-5
114,169
20,35,-23,98
24,1409
0,13360
10D,29
10C,2277
111,21
105,61
10F,39
10B,35
106,-6
107,-5
114,12
20,23,-22,118
24,1407
0,13915
10D,29
10C,2271
111,21
105,62
10F,39
10B,45
106,-5
107,-5
114,136
20,18,-4,108
24,1403
0,14460
10D,30
10C,2281
111,21
105,62
10F,39
10B,45
106,-7
107,-5
114,151
20,30,-14,101
24,1409
0,15010
10D,29
10C,2314
111,21
105,62
10F,39
10B,44
106,-9
107,-5
114,14
20,25,-4,107
24,1403
0,15560
10D,30
10C,2337
111,21
105,62
10F,39
10B,44
106,-7
107,-5
114,141
20,25,0,119
24,1408
0,16110
10D,30
10C,2354
111,21
105,62
10F,39
10B,43
106,-8
107,-5
114,46
20,22,0,105
24,1413
0,16660
10D,31
10C,2384
111,20
105,63
10F,39
10B,29
106,-7
107,-5
114,167
20,30,-14,98
24,1405
0,17210
10D,31
10C,2314
111,15
105,63
10F,39
10B,16
106,-10
107,-5
114,5
20,34,-15,109
24,1414
0,17760
10D,30
10C,2295
111,15
105,63
10F,39
10B,16
106,-9
107,-5
114,6
20,30,-15,102
24,1411
0,18310
10D,29
10C,2256
111,15
105,63
10F,39
10B,15
106,-6
107,-5
114,9
20,27,-12,107
24,1409
0,18860
10D,29
10C,2198
